日期;發佈單位;標題;url
2023-08-24;教務處教學發展中心;【校內實體講座】112.10.05(四)改變說服力的簡報心法;https://bulletin.ntust.edu.tw/p/406-1045-115551,r1391.php?Lang=zh-tw
2023-08-24;教務處教學發展中心;【校內實體講座】112.09.07(四)如何撰寫教學實踐研究計畫;https://bulletin.ntust.edu.tw/p/406-1045-115428,r1391.php?Lang=zh-tw
2023-08-24;教務處教學發展中心;【校內實體講座】112.09.22(五)112學年度第1學期一般課程教學助理研習會(本研習會全程中文講述);https://bulletin.ntust.edu.tw/p/406-1045-115480,r1391.php?Lang=zh-tw
2023-08-24;通識教育中心;【活動宣傳】2023暑假作業開跑啦！一起來看影片、填問卷、抽禮券;https://bulletin.ntust.edu.tw/p/406-1045-115864,r1391.php?Lang=zh-tw
2023-08-24;通識教育中心;【活動宣傳】趁著暑假來參加通識抵萬金系列活動，有機會獲得豐富好禮唷！;https://bulletin.ntust.edu.tw/p/406-1045-115865,r1391.php?Lang=zh-tw
2023-08-24;研究發展處計畫業務服務中心;【NSTC計畫徵求】2023年「生物多樣性（Biodiversa+EuropeanBiodiversityPartnership）」跨國多邊合作計畫;https://bulletin.ntust.edu.tw/p/406-1045-116226,r1391.php?Lang=zh-tw
2023-08-23;學務處衛保組;【學務處衛保組】教育部函轉開學前後加強猴痘（Mpox）之防治衛教宣導，鼓勵符合接種條件者接種疫苗。;https://bulletin.ntust.edu.tw/p/406-1045-116218,r1391.php?Lang=zh-tw
2023-08-23;通識教育中心;【場地轉知】勤益科技大學藝術中心113年展覽檔期開放申請，10/31截止;https://bulletin.ntust.edu.tw/p/406-1045-116214,r1391.php?Lang=zh-tw
2023-08-23;秘書室;【活動轉知】112年度文化科技系列講座-「星空的科學與藝術－跨域融合的翻轉教育」;https://bulletin.ntust.edu.tw/p/406-1045-116211,r1391.php?Lang=zh-tw
2023-08-23;GeneralAffairsSection;NoticeofPesticideApplication;https://bulletin.ntust.edu.tw/p/406-1045-116201,r1391.php?Lang=zh-tw
2023-08-23;總務處事務組;暑假病媒蚊防治噴藥全校公告;https://bulletin.ntust.edu.tw/p/406-1045-116200,r1391.php?Lang=zh-tw
2023-08-23;體育室;有關本校體育館、排球場設施於8/30～9/3舉辦新生入學指導活動及體檢，暫停使用;https://bulletin.ntust.edu.tw/p/406-1045-116188,r1391.php?Lang=zh-tw
2023-08-22;研究發展處計畫業務服務中心;【教育部計畫徵求】「補助大學校院動物實驗替代科技人才培育計畫」;https://bulletin.ntust.edu.tw/p/406-1045-116186,r1391.php?Lang=zh-tw
2023-08-22;電子計算機中心;【電子計算機中心公告】本校網路暫時中斷通知。（Notification:Networkinterruption.）;https://bulletin.ntust.edu.tw/p/406-1045-116181,r1391.php?Lang=zh-tw
2023-08-22;電子計算機中心;[轉知]交通部觀光局因改制為觀光署，網域名稱自本（112）年9月15日起變更事宜。;https://bulletin.ntust.edu.tw/p/406-1045-116175,r1391.php?Lang=zh-tw
2023-08-22;電子計算機中心;[轉知]交通部中央氣象局網域名稱自本（112）年9月15日起變更事宜。;https://bulletin.ntust.edu.tw/p/406-1045-116173,r1391.php?Lang=zh-tw
2023-08-22;學務處活動組;【學生活動組】校外競賽活動訊息轉知;https://bulletin.ntust.edu.tw/p/406-1045-116170,r1391.php?Lang=zh-tw
2023-08-22;永續發展與校務研究中心;【活動轉知】2023年E時代的教育前瞻國際學術研討會-永續發展教育在全球化時代的挑戰與展望;https://bulletin.ntust.edu.tw/p/406-1045-116154,r1391.php?Lang=zh-tw
2023-08-22;電子計算機中心;函轉數位發展部「111年度公務機關資通安全稽核作業共同發現事項」1份;https://bulletin.ntust.edu.tw/p/406-1045-116150,r1391.php?Lang=zh-tw
2023-08-22;人事室;中央研究院113年度第1梯次獎勵國內學人短期來院訪問研究即日起至112年10月4日止受理申請;https://bulletin.ntust.edu.tw/p/406-1045-116149,r1391.php?Lang=zh-tw
2023-08-22;圖書館;【公告】112學年第1學期博碩士論文系統轉換公告【Announcement】Systemconversionofelectronictheses&dissertationssysteminthefirstsemesterofthe112academicyear;https://bulletin.ntust.edu.tw/p/406-1045-116147,r1391.php?Lang=zh-tw
2023-08-22;通識教育中心;【轉知】《市北教育學刊》徵稿，歡迎老師賜稿;https://bulletin.ntust.edu.tw/p/406-1045-116146,r1391.php?Lang=zh-tw
2023-08-22;教務處教學發展中心;【轉知】社團法人台灣評鑑協會舉辦「2023年國際研討會」活動;https://bulletin.ntust.edu.tw/p/406-1045-116144,r1391.php?Lang=zh-tw
2023-08-22;教務處教學發展中心;【轉知】國立成功大學舉辦「從研究資料儲存庫出發的研究資料管理實務(Fromdatarepositorytoresearchdatamanagementpractice)」演講;https://bulletin.ntust.edu.tw/p/406-1045-116143,r1391.php?Lang=zh-tw
2023-08-22;教務處教學發展中心;【轉知】國立政治大學舉辦「全國資訊科技跨域教學經驗交流會——跨域教與學：資訊科技驅動的教育創新之路」;https://bulletin.ntust.edu.tw/p/406-1045-116142,r1391.php?Lang=zh-tw
2023-08-22;教務處教學發展中心;【轉知】國立臺中科技大學辦理「科技導入數位教材工作坊－與AI共創：結合AI畫畫與現代詩視覺藝術」線上工作坊;https://bulletin.ntust.edu.tw/p/406-1045-116140,r1391.php?Lang=zh-tw
2023-08-22;教務處教學發展中心;【轉知】教育部委託財團法人金屬工業研究發展中心辦理「私立高級中等以上學校人力躍升培訓及媒合平臺」實務講座;https://bulletin.ntust.edu.tw/p/406-1045-116138,r1391.php?Lang=zh-tw
2023-08-22;研究發展處學術推展中心;【計畫徵求】國立臺灣大學系統公開徵求113年度「『國立臺灣大學系統』年輕學者創新性合作計畫」，自112年8月22日至112年10月13日止受理申請，請查照。;https://bulletin.ntust.edu.tw/p/406-1045-116111,r1391.php?Lang=zh-tw
2023-08-22;教務處教學發展中心;【轉知】臺北醫學大學舉辦【BIODESIGN臨床需求洞察與創新應用】;https://bulletin.ntust.edu.tw/p/406-1045-116137,r1391.php?Lang=zh-tw
2023-08-22;產學創新學院;【轉知】2023台達年輕學者科技講座：每名每年新台幣100萬元，計三年;https://bulletin.ntust.edu.tw/p/406-1045-116128,r1391.php?Lang=zh-tw
